5V-LDO	8.19	40.88	270.00	MIC5219-5.0YM5	SOT-23-5
C1	6.86	44.70	0.00	10uF	1206_DIRECTED
C12	64.26	28.27	0.00	1uF	0603
C14_NC	23.80	51.68	180.00	10pF	0603
C15_NC	28.21	51.68	0.00	10pF	0603
C16	53.90	20.39	270.00	100nF	0603
C17	59.34	23.85	90.00	100nF	0603
C2	6.35	37.34	0.00	10uF	1206_DIRECTED
C3	6.23	34.50	180.00	100nF	0603
C4	11.19	37.34	0.00	470pF	0603
C5	21.28	45.89	90.00	10uF	0603
C6	34.36	51.55	0.00	22pF	0603
C7	26.83	41.87	180.00	22pF	0603
D1	28.76	13.10	90.00	RRE02VSM6STR	TUMD2SM-2
D3	22.32	16.80	270.00	RRE02VSM6STR	TUMD2SM-2
R1	49.18	25.91	180.00	680	1206
R10	62.34	23.62	90.00	10K	0603
R11	56.31	20.41	90.00	10K	0603
R12	62.82	19.69	180.00	10K	0603
R13	63.97	16.66	180.00	10K	0603
R14	36.80	12.87	180.00	100K	0603
R15	39.33	6.64	180.00	10K	0603
R16	38.96	4.19	180.00	22K	0603
R2	49.44	28.98	180.00	470k	1206
R20	38.59	16.43	90.00	10K	0603
R21	27.97	7.12	270.00	10K	0603
R22	31.78	9.18	0.00	3K3	0603
R23	25.03	45.15	270.00	3.3K	0603
R24	28.11	45.25	270.00	3.3K	0603
R27	23.11	22.10	90.00	10K	0603
R28	19.56	42.42	270.00	68R	0603
R3	49.39	32.01	180.00	680	1206
R4	49.26	36.86	180.00	470k	1206
R5	49.06	39.99	180.00	680	1206
R6	48.24	43.02	180.00	470k	1206
S4	37.26	10.02	0.00	BC847C	SOT-23-3
TVS_D1	62.77	42.88	270.00	SRV05-4MR6T1GT	TSOP6_3P1X1P7_ONS
TVS_D2	47.23	49.04	180.00	SMBJP6KE6.8A-TP	DIOM5336X244N
