Partlist

Exported from LiBatteryChargeBoostBoard.sch at 17-Dec-23 11:04 PM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part             Value              Device                                   Package                          Library       Sheet

5V               TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
5V-0.2A          TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
5V-SWITCH                           HEADER-2PIN-0.1"P                        HEADER-2PIN-0.1"P                .MyComponents 1
20MHZ            ECS-200-18-4X-CKM  CRYSTAL-20MHZ-ECS-200-18-4X-CKM          XTAL_ECS-200-18-4X-CKM           .MyComponents 1
BATT+ON          TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
BATT+ON'         TEST-POINT-TH      TEST-POINT-TH                            TEST-POINT-TH-1MM                .MyComponents 1
BATT_PORT        S2B-PH-K-S         S2B-PH-K-S                               S2B-PH-K-S                       .MyComponents 1
BUZZER           CMI-9605-0580T     BUZZER-ACTIVE-CMI-9605-0580T             BUZZER-ACTIVE-CMI-9605-0580T     .MyComponents 1
C1               0.1uF              CAPACITOR_SMD0603                        0603                             .MyComponents 1
C2               1uF                CAPACITOR_SMD0603                        0603                             .MyComponents 1
C3               22pF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C4               10uF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C5               10uF               CAPACITOR1206                            1206                             .MyComponents 1
C6               22uF-35V           CAPACITOR_SMD1206                        1206                             .MyComponents 1
C7               22pF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C8               100nF              CAPACITOR_SMD0603                        0603                             .MyComponents 1
C9               100nF              CAPACITOR_SMD0603                        0603                             .MyComponents 1
C10              10uF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C12              10uF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C13              1nF                CAPACITOR_SMD0603                        0603                             .MyComponents 1
C14              NC/10pF            CAPACITOR_SMD0603                        0603                             .MyComponents 1
C15              NC/10pF            CAPACITOR_SMD0603                        0603                             .MyComponents 1
C16              100nF              CAPACITOR_SMD0603                        0603                             .MyComponents 1
C17              100nF              CAPACITOR_SMD0603                        0603                             .MyComponents 1
C21              1uF                CAPACITOR_SMD0603                        0603                             .MyComponents 1
C31              22uF-15V           CAPACITOR_SMD1206                        1206                             .MyComponents 1
C41              0.1uF              CAPACITOR_SMD0603                        0603                             .MyComponents 1
C42              10nF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C43              100uF              EEEFN1E101UP                             CAP_EEEFN1E101UP                 .MyComponents 1
C44              10uF               CAPACITOR_SMD0603                        0603                             .MyComponents 1
C51              10uF-25V           CAPACITOR0603                            0603                             .MyComponents 1
C52              10uF               CAPACITOR0603                            0603                             .MyComponents 1
C53              10nFC0G            CAPACITOR_SMD0603                        0603                             .MyComponents 1
CHARGING         BLUE               LED0603                                  0603-DIODE                       .MyComponents 1
